City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Samsun,TR,2022-04-29 00:17:52,41.25,36.3333,54.99,86,75,2.3
229,Kapaa,US,2022-04-29 00:17:52,22.0752,-159.319,82.38,85,40,13.8
230,Luderitz,NA,2022-04-29 00:17:53,-26.6481,15.1594,59.36,76,22,10.04
231,Ipixuna,BR,2022-04-29 00:17:53,-1.7625,-48.8043,74.48,97,100,3.29
232,Olafsvik,IS,2022-04-29 00:17:54,64.8945,-23.7142,44.8,95,62,11.45
233,Praya,CV,2022-04-29 00:17:54,14.9215,-23.5087,70.34,73,20,19.57
234,Pavlodar,KZ,2022-04-29 00:17:55,52.3,76.95,46.2,87,0,6.71
235,Zhigansk,RU,2022-04-29 00:17:55,66.7697,123.3711,21.33,94,68,10.71
236,Mar Del Plata,AR,2022-04-29 00:17:56,-38.0023,-57.5575,47.88,85,20,14.0
237,Saldanha,ZA,2022-04-29 00:17:56,-33.0117,17.9442,60.85,92,22,12.06
238,Baykit,RU,2022-04-29 00:17:57,61.67,96.37,39.51,99,100,3.33
239,San Francisco,US,2022-04-29 00:13:07,37.7749,-122.4194,67.32,67,20,27.63
240,Mount Gambier,AU,2022-04-29 00:14:51,-37.8333,140.7667,66.22,68,93,10.29
241,Landau,DE,2022-04-29 00:17:58,49.2075,8.1133,51.62,75,9,2.42
242,Saskylakh,RU,2022-04-29 00:17:58,71.9167,114.0833,21.43,85,99,11.32
243,Korla,CN,2022-04-29 00:17:58,41.7597,86.1469,51.73,52,79,3.98
244,Warrington,GB,2022-04-29 00:17:59,53.3925,-2.5802,48.45,76,100,5.75
245,Dergachi,RU,2022-04-29 00:17:59,51.2328,48.7659,44.65,79,20,9.84
246,Cedar City,US,2022-04-29 00:18:00,37.6775,-113.0619,65.39,7,0,25.32
247,Nkhotakota,MW,2022-04-29 00:18:01,-12.9274,34.2961,69.89,78,44,12.24
248,Yerbogachen,RU,2022-04-29 00:14:57,61.2767,108.0108,36.84,76,78,8.05
249,Ler,SS,2022-04-29 00:18:01,8.3018,30.1418,78.98,64,99,5.7
250,Rio Gallegos,AR,2022-04-29 00:18:02,-51.6226,-69.2181,39.25,75,0,18.41
251,Padang,ID,2022-04-29 00:18:02,-0.9492,100.3543,77.05,85,100,2.62
252,Tanda,IN,2022-04-29 00:18:03,26.55,82.65,81.82,19,0,6.24
253,Ribeira Grande,PT,2022-04-29 00:18:03,38.5167,-28.7,63.0,94,75,25.32
254,Mayor Pablo Lagerenza,PY,2022-04-29 00:18:04,-19.9309,-60.7718,72.14,77,72,8.41
255,Muros,ES,2022-04-29 00:16:26,42.7762,-9.0603,56.08,82,66,9.71
256,Amahai,ID,2022-04-29 00:18:05,-3.3333,128.9167,81.59,75,96,1.79
257,Vryburg,ZA,2022-04-29 00:18:05,-26.9566,24.7284,56.17,67,15,10.09
258,Filadelfia,US,2022-04-29 00:14:07,39.9523,-75.1638,54.36,21,0,10.36
259,Bay Roberts,CA,2022-04-29 00:18:06,47.5999,-53.2648,37.65,90,100,3.0
260,Nelson Bay,AU,2022-04-29 00:18:06,-32.7167,152.15,73.09,84,29,0.98
261,Erzin,TR,2022-04-29 00:18:07,36.9559,36.2,64.31,57,0,2.48
262,Macklin,CA,2022-04-29 00:18:07,52.3334,-109.9348,55.74,31,89,5.7
263,Hualmay,PE,2022-04-29 00:18:08,-11.0964,-77.6139,66.33,91,88,6.4
264,Burnie,AU,2022-04-29 00:18:08,-41.0667,145.9167,65.91,86,71,5.79
265,Curup,ID,2022-04-29 00:18:08,-3.4667,102.5333,69.64,93,99,1.48
266,Huarmey,PE,2022-04-29 00:18:09,-10.0681,-78.1522,67.6,87,96,6.93
267,Geraldton,AU,2022-04-29 00:18:09,-28.7667,114.6,57.61,82,0,6.91
268,Ayan,RU,2022-04-29 00:18:10,56.45,138.1667,34.63,65,100,11.36
269,Balkhash,KZ,2022-04-29 00:15:04,46.844,74.9804,53.47,48,13,12.68
270,Koltubanovskiy,RU,2022-04-29 00:18:10,52.9407,52.0269,40.48,83,29,8.75
